Id,Label,GeoCategory,Affilations,Main Role,All Roles,Debut Year,Debut Region,Debut at Private Studio,lat,lon
3679,"周本才让","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.8784277450306002,0.07349126784555593
3680,"杨小强","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",-0.11940506311400356,0.4443638597743944
3681,"黄景渊","Inner Mongolia / Northeast","Changchun Film Studio (1) & Inner Mongolia Film Studio (1)","Acting","Acting (1)",1959,"Inner Mongolia / Northeast","False",0.8323537082805617,-0.12389339323346338
3682,"阎序中","Northeast","Changchun Film Studio (2) & Inner Mongolia Film Studio (1)","特技摄影","特技摄影 (2)",1959,"Northeast","False",42.946303368868605,125.17780897453356
3683,"刘厚明","Beijing / Northeast","Changchun Film Studio (1) & Beijing Film Studio (1)","Scriptwriter","Scriptwriter (2)",1959,"Northeast","False",-0.9752693702859472,0.20911541609180673
3684,"成凌","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.98556265174661,125.00249544830135
3685,"王民伟","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.34030300466121,124.49746482990093
3686,"孙长泰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",42.96030430859029,125.4702167189297
3687,"王莹","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.891263901863525,125.72629092732367
3688,"汪德荣","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Northeast","False",44.55174242172571,124.5051019153288
3689,"马锡钰","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",44.54324035748037,125.68846411682263
3690,"李宗林","Northeast","Changchun Film Studio (1)","Acting","Acting (1)",1959,"Northeast","False",43.694743125219105,125.55704941863654
3691,"孟宪弟","Northeast","Changchun Film Studio (5)","摄影","摄影 (4) & 特技摄影 (1)",1959,"Northeast","False",43.53274977488,126.14658733704411
3692,"白天民","Northeast","Changchun Film Studio (5) & Xi'an Film Studio (1)","特技设计","特技设计 (3) & 特技美术 (2)",1959,"Northeast","False",43.25495159682198,125.52003291483764
3693,"谢雪畴","Northeast","Changchun Film Studio (1)","Scriptwriter","Scriptwriter (1)",1959,"Northeast","False",42.94351260864585,125.26497425714518
