Id,Label,GeoCategory,Affilations,Main Role,All Roles
1044,"广州东山区创作组集体创作-王荣玲","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1045,"王岗","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1046,"谭建章","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1047,"王子君","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1048,"陈长江","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1049,"简瑞超","Canton","Pearl River Film Studio (2)","Acting","Acting (2)"
1050,"辜朗晖","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1051,"刘纯振","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1052,"贾建和","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1053,"王立","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1054,"霍银贞","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1055,"史进","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1056,"罗声繁","Canton","Pearl River Film Studio (1)","美工","美工 (1)"
1057,"梁立柱","Canton","Pearl River Film Studio (1)","指挥","指挥 (1)"
1058,"林光","Canton","Pearl River Film Studio (1)","录音","录音 (1)"
1059,"黄丹彤","Canton","Pearl River Film Studio (1)","助理导演","助理导演 (1)"
1060,"董焕瑶","Canton","Pearl River Film Studio (1)","剪辑","剪辑 (1)"
1061,"虞干","Canton","Pearl River Film Studio (1)","剧务主任","剧务主任 (1)"
1062,"伊琳","Canton","Pearl River Film Studio (1)","Director","Director (1)"
1063,"张漠青","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1064,"连裕斌","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1065,"陈克","Canton","Pearl River Film Studio (1)","Scriptwriter","Scriptwriter (1)"
1066,"张安福","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1067,"林岚","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1068,"宋蓝波","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1069,"王辛","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1070,"童灵犀","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1071,"高淬","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1072,"谢国华","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1073,"刘家麟","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1074,"梁凤文","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1075,"崔志英","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
1076,"黎京","Canton","Pearl River Film Studio (1)","Acting","Acting (1)"
