程之,Shanghai (state),Wenhua Film Company (8) & Shanghai Film Studio (5) & Haiyan Film Studio (2) & Tianma Film Studio (10) & Jiangnan Film Studio (2),1949,Shanghai (private),True
沈扬,Shanghai (private),Wenhua Film Company (4) & Shanghai Film Studio (1) & 远东影业公司 (1),1949,Shanghai (private),True
俞仲英,Shanghai (state),Wenhua Film Company (7) & Shanghai Film Studio (2) & Tianma Film Studio (9) & Haiyan Film Studio (2),1949,Shanghai (private),True
田振东,Shanghai (private),Wenhua Film Company (7) & Datong Film Company (1) & Kunlun Film Company (1) & 黎明影业公司 (1),1949,Shanghai (private),True
崔超明,Shanghai (state),Wenhua Film Company (8) & Shanghai Film Studio (2) & Haiyan Film Studio (2) & Tianma Film Studio (4) & Jiangnan Film Studio (7) & Changchun Film Studio (5),1949,Shanghai (private),True
杨文龙,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
蔡元元,Shanghai (state),Wenhua Film Company (1) & Shanghai Film Studio (2) & Beijing Film Studio (1),1949,Shanghai (private),True
李春英,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
蔡松龄,Beijing,Wenhua Film Company (1) & Beijing Film Studio (2) & Tianjin Film Studio (1),1949,Shanghai (private),True
黎频,Beijing / Shanghai (private),Wenhua Film Company (1) & Beijing Film Studio (1),1949,Shanghai (private),True
杨肇文,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
李煊,Shanghai (private),Wenhua Film Company (1) & Guotai Film Company (2),1949,Shanghai (private),True
周瑞德,Shanghai (private),Wenhua Film Company (1),1949,Shanghai (private),True
苏曼,Shanghai (private),Wenhua Film Company (1) & Kunlun Film Company (3) & Changjiang-Kunlun Associated Film Studio (2) & Changchun Film Studio (1) & Haiyan Film Studio (1),1949,Shanghai (private),True
李保罗,Shanghai (state),Wenhua Film Company (1) & Guotai Film Company (6) & Shanghai Film Studio (4) & Haiyan Film Studio (12) & Tianma Film Studio (4) & Jiangnan Film Studio (8) & Datong Film Company (1) & 中央电影摄影场二厂 (1) & Kunlun Film Company (1) & 华东影片经理公司 (1),1949,Shanghai (private),True
石灵,Shanghai (state),Wenhua Film Company (6) & Northeast Film Studio (1) & Shanghai Film Studio (5) & Haiyan Film Studio (1) & Jiangnan Film Studio (1) & Tianma Film Studio (5),1949,Shanghai (private),True
韩明德,Shanghai (state) / Shanghai (private),Wenhua Film Company (1) & Shanghai Film Studio (1),1949,Shanghai (private),True
