film,frame,pos,num_people,num_heads,geo_category,production,year,type,n_heads
Carnival Night,735,0.848729792147806,16,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,738,0.8521939953810623,12,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,742,0.8568129330254042,12,13,Non-Chinese,Non-Chinese,1950,Feature,0.0755813953488372
Carnival Night,755,0.871824480369515,12,10,Non-Chinese,Non-Chinese,1950,Feature,0.05813953488372093
Carnival Night,756,0.8729792147806005,11,10,Non-Chinese,Non-Chinese,1950,Feature,0.05813953488372093
Carnival Night,760,0.8775981524249422,14,47,Non-Chinese,Non-Chinese,1950,Feature,0.27325581395348836
Carnival Night,768,0.8868360277136259,13,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,780,0.9006928406466512,12,18,Non-Chinese,Non-Chinese,1950,Feature,0.10465116279069768
Carnival Night,781,0.9018475750577367,11,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,783,0.9041570438799076,12,18,Non-Chinese,Non-Chinese,1950,Feature,0.10465116279069768
Carnival Night,784,0.9053117782909931,17,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,788,0.9099307159353349,12,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,789,0.9110854503464203,13,20,Non-Chinese,Non-Chinese,1950,Feature,0.11627906976744186
Carnival Night,793,0.9157043879907621,13,10,Non-Chinese,Non-Chinese,1950,Feature,0.05813953488372093
Carnival Night,800,0.9237875288683602,15,19,Non-Chinese,Non-Chinese,1950,Feature,0.11046511627906977
Carnival Night,801,0.9249422632794457,18,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,802,0.9260969976905312,15,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,803,0.9272517321016166,17,17,Non-Chinese,Non-Chinese,1950,Feature,0.09883720930232558
Carnival Night,804,0.9284064665127021,12,16,Non-Chinese,Non-Chinese,1950,Feature,0.09302325581395349
Carnival Night,806,0.930715935334873,12,9,Non-Chinese,Non-Chinese,1950,Feature,0.05232558139534884
Carnival Night,811,0.9364896073903002,11,160,Non-Chinese,Non-Chinese,1950,Feature,0.9302325581395349
Carnival Night,812,0.9376443418013857,11,13,Non-Chinese,Non-Chinese,1950,Feature,0.0755813953488372
Carnival Night,837,0.9665127020785219,12,86,Non-Chinese,Non-Chinese,1950,Feature,0.5
Carnival Night,860,0.9930715935334873,11,172,Non-Chinese,Non-Chinese,1950,Feature,1.0
A Dream of Cossack,84,0.06614173228346457,11,34,Non-Chinese,Non-Chinese,1950,Feature,0.41975308641975306
A Dream of Cossack,85,0.06692913385826772,12,25,Non-Chinese,Non-Chinese,1950,Feature,0.30864197530864196
A Dream of Cossack,314,0.247244094488189,13,81,Non-Chinese,Non-Chinese,1950,Feature,1.0
A Dream of Cossack,316,0.24881889763779527,11,20,Non-Chinese,Non-Chinese,1950,Feature,0.24691358024691357
A Dream of Cossack,319,0.2511811023622047,12,51,Non-Chinese,Non-Chinese,1950,Feature,0.6296296296296297
A Dream of Cossack,320,0.25196850393700787,13,39,Non-Chinese,Non-Chinese,1950,Feature,0.48148148148148145
A Dream of Cossack,321,0.25275590551181104,13,56,Non-Chinese,Non-Chinese,1950,Feature,0.691358024691358
A Dream of Cossack,322,0.25354330708661416,13,52,Non-Chinese,Non-Chinese,1950,Feature,0.6419753086419753
A Dream of Cossack,324,0.2551181102362205,11,11,Non-Chinese,Non-Chinese,1950,Feature,0.13580246913580246
A Dream of Cossack,332,0.2614173228346457,14,20,Non-Chinese,Non-Chinese,1950,Feature,0.24691358024691357
A Dream of Cossack,336,0.26456692913385826,13,15,Non-Chinese,Non-Chinese,1950,Feature,0.18518518518518517
A Dream of Cossack,337,0.26535433070866143,12,16,Non-Chinese,Non-Chinese,1950,Feature,0.19753086419753085
A Dream of Cossack,340,0.2677165354330709,14,15,Non-Chinese,Non-Chinese,1950,Feature,0.18518518518518517
A Dream of Cossack,343,0.2700787401574803,11,17,Non-Chinese,Non-Chinese,1950,Feature,0.20987654320987653
A Dream of Cossack,572,0.4503937007874016,15,16,Non-Chinese,Non-Chinese,1950,Feature,0.19753086419753085
