Film Key,Film Title,Production,Category,Has Downloadable Source on 1905 (False for films with limited source and empty for no source)
lao dong hua kai,劳动花开,Changjiang-Kunlun Associated Film Studio,Shanghai (private),
feng shou,丰收,Northeast Film Studio,Northeast,False
cao yuan shang de ren men,草原上的人们,Northeast Film Studio,Northeast,True
jie hun,结婚,Northeast Film Studio,Northeast,
xiao gu xian,小姑贤,Northeast Film Studio,Northeast,True
zhi qu hua shan,智取华山,Beijing Film Studio,Beijing,True
zhao xiao lan,赵小兰,Beijing Film Studio,Beijing,True
jin yin tan,金银滩,Shanghai Film Studio,Shanghai (state),True
fang hua qu,纺花曲,Changjiang-Kunlun Associated Film Studio,Shanghai (private),
wei hai zi men zhu fu,为孩子们祝福,Changjiang-Kunlun Associated Film Studio,Shanghai (private),
tai yang zhao liang le hong shi gou,太阳照亮了红石沟,Wenhua Film Company,Shanghai (private),
ying xiong si ji,英雄司机,Northeast Film Studio,Northeast,True
chun feng chui dao nuo min he,春风吹到诺敏河,Northeast Film Studio,Northeast,True
sha jia dian liang zhan,沙家店粮站,Northeast Film Studio,Northeast,True
tu di,土地,Northeast Film Studio,Northeast,True
wu qiong de qian li,无穷的潜力,Northeast Film Studio,Northeast,True
ren wang gao chu zou,人往高处走,Northeast Film Studio,Northeast,
yu zhou feng,宇宙锋,Northeast Film Studio,Northeast,True
shi yu zhuo,拾玉镯,Northeast Film Studio,Northeast,True
xiao bai tu,小白兔,Beijing Film Studio,Beijing,True
yi jian ti an,一件提案,Beijing Film Studio,Beijing,True
ji mao xin,鸡毛信,Shanghai Film Studio,Shanghai (state),True
zhan duan mo zhua,斩断魔爪,Shanghai Film Studio,Shanghai (state),True
san nian,三年,Shanghai Film Studio,Shanghai (state),
wei da de qi dian,伟大的起点,Shanghai Film Studio,Shanghai (state),True
du jiang zhen cha ji,渡江侦察记,Shanghai Film Studio,Shanghai (state),True
huai shang ren jia,淮上人家,Shanghai Film Studio,Shanghai (state),True
shan jian ling xiang ma bang lai,山间铃响马帮来,Shanghai Film Studio,Shanghai (state),True
yi chang feng bo,一场风波,Shanghai Film Studio,Shanghai (state),True
bu neng zou na tiao lu,不能走那条路,Shanghai Film Studio,Shanghai (state),True
fu nv dai biao,妇女代表,Shanghai Film Studio,Shanghai (state),True
liang shan bo yu zhu ying tai,梁山伯与祝英台,Shanghai Film Studio,Shanghai (state),True
shuang tui mo,双推磨,Shanghai Film Studio,Shanghai (state),True
lan qiao hui,蓝桥会,Shanghai Film Studio,Shanghai (state),False
chuan ju ji jin,川剧集锦,Central Newsreel and Documentary Film Studio,Beijing,
zu guo de hua duo,祖国的花朵,Changchun Film Studio,Northeast,True
meng he de li ming,猛河的黎明,Changchun Film Studio,Northeast,True
xia tian de gu shi,夏天的故事,Changchun Film Studio,Northeast,True
shen mi de lv ban,神秘的旅伴,Changchun Film Studio,Northeast,True
ping yuan you ji dui,平原游击队,Changchun Film Studio,Northeast,True
luo xiao lin de jue xin,罗小林的决心,Changchun Film Studio,Northeast,True
dong cun rui,董存瑞,Changchun Film Studio,Northeast,True
nu hai qing qi,怒海轻骑,Changchun Film Studio,Northeast,
qin xiang lian,秦香莲,Changchun Film Studio,Northeast,
da jin zhi,打金枝,Changchun Film Studio,Northeast,True
mei lan fang de wu tai yi shu (shang ji),梅兰芳的舞台艺术（上集）,Beijing Film Studio,Beijing,True
ha sen yu jia mi la,哈森与加米拉,Shanghai Film Studio,Shanghai (state),False
tian luo di wang,天罗地网,Shanghai Film Studio,Shanghai (state),True
shui xiang de chun tian,水乡的春天,Shanghai Film Studio,Shanghai (state),True
qing chun de yuan di,青春的园地,Shanghai Film Studio,Shanghai (state),True
hu shang de dou zheng,湖上的斗争,Shanghai Film Studio,Shanghai (state),True
min jiang ju zi hong,闽江橘子红,Shanghai Film Studio,Shanghai (state),True
nan dao feng yun,南岛风云,Shanghai Film Studio,Shanghai (state),True
song jing shi,宋景诗,Shanghai Film Studio,Shanghai (state),True
shang jin shan,上金山,Shanghai Film Studio,Shanghai (state),True
guang chang za ji biao yan,广场杂技表演,Shanghai Film Studio,Shanghai (state),True
lian yin,炼印,Shanghai Film Studio,Shanghai (state),True
tian xian pei,天仙配,Shanghai Film Studio,Shanghai (state),True
jiao yin,脚印,August First Film Studio,Beijing,True
huang he da he chang,黄河大合唱,Central Newsreel and Documentary Film Studio,Beijing,
hu xue zhui zong,虎穴追踪,Changchun Film Studio,Northeast,True
pu bu mie de huo yan,扑不灭的火焰,Changchun Film Studio,Northeast,True
xin ju zhang dao lai zhi qian,新局长到来之前,Changchun Film Studio,Northeast,True
ma lan hua kai,马兰花开,Changchun Film Studio,Northeast,True
ge ge he mei mei,哥哥和妹妹,Changchun Film Studio,Northeast,True
ma,马,Changchun Film Studio,Northeast,True
guan bu zhu,关不住,Changchun Film Studio,Northeast,
ma ma yao wo chu jia,妈妈要我出嫁,Changchun Film Studio,Northeast,True
pi bao,皮包,Changchun Film Studio,Northeast,True
bu ju xiao jie de ren,不拘小节的人,Changchun Film Studio,Northeast,True
ru ci duo qing,如此多情,Changchun Film Studio,Northeast,True
guo qing shi dian zhong,国庆十点钟,Changchun Film Studio,Northeast,True
shang gan ling,上甘岭,Changchun Film Studio,Northeast,True
liu qiao er,刘巧儿,Changchun Film Studio,Northeast,True
hua mu lan,花木兰,Changchun Film Studio,Northeast,True
mei lan fang de wu tai yi shu (xia ji),梅兰芳的舞台艺术（下集）,Beijing Film Studio,Beijing,True
luo shen,洛神,Beijing Film Studio,Beijing,True
huang shan lei,荒山泪,Beijing Film Studio,Beijing,True
zhu fu,祝福,Beijing Film Studio,Beijing,True
wei le he ping,为了和平,Shanghai Film Studio,Shanghai (state),True
chun tian lai le,春天来了,Shanghai Film Studio,Shanghai (state),True
qiu weng yu xian ji,秋翁遇仙记,Shanghai Film Studio,Shanghai (state),True
xiao bai qi de feng bo,小白旗的风波,Shanghai Film Studio,Shanghai (state),True
shei shi xiong shou,谁是凶手,Shanghai Film Studio,Shanghai (state),True
mu qin,母亲,Shanghai Film Studio,Shanghai (state),True
luo shui ji,落水记,Shanghai Film Studio,Shanghai (state),True
xiao huo ban,小伙伴,Shanghai Film Studio,Shanghai (state),True
li shi zhen,李时珍,Shanghai Film Studio,Shanghai (state),True
liang ge xiao zu qiu dui,两个小足球队,Shanghai Film Studio,Shanghai (state),True
tie dao you ji dui,铁道游击队,Shanghai Film Studio,Shanghai (state),True
jia,家,Shanghai Film Studio,Shanghai (state),True
sha mo li de zhan dou,沙漠里的战斗,Shanghai Film Studio,Shanghai (state),True
sou shu yuan,搜书院,Shanghai Film Studio,Shanghai (state),True
shi wu guan,十五贯,Shanghai Film Studio,Shanghai (state),True
song shi jie,宋士杰,Shanghai Film Studio,Shanghai (state),True
an tang xiang hui,庵堂相会,Shanghai Film Studio,Shanghai (state),True
zhou xin fang de yi shu sheng huo,周信芳的艺术生活,Shanghai Film Studio,Shanghai (state),
an tang ren mu,庵堂认母,Shanghai Film Studio,Shanghai (state),True
ge ma,葛麻,Shanghai Film Studio,Shanghai (state),
chong po li ming qian de hei an,冲破黎明前的黑暗,August First Film Studio,Beijing,False
zhei jue bu shi xiao shi qing,这决不是小事情,August First Film Studio,Beijing,True
you yuan jing meng (1956),游园惊梦,Central Newsreel and Documentary Film Studio,Beijing,True
huang hua ling,黄花岭,Central Newsreel and Documentary Film Studio,Beijing,
bao feng zhong de xiong ying,暴风中的雄鹰,Changchun Film Studio,Northeast,True
ji jing de shan lin,寂静的山林,Changchun Film Studio,Northeast,True
wei wan cheng de xi ju,未完成的喜剧,Changchun Film Studio,Northeast,False
fu shi (1957),复试,Changchun Film Studio,Northeast,True
qing chun de jiao bu,青春的脚步,Changchun Film Studio,Northeast,True
xun ai ji,寻爱记,Changchun Film Studio,Northeast,True
di xia jian bing,地下尖兵,Changchun Film Studio,Northeast,True
lu sheng lian ge,芦笙恋歌,Changchun Film Studio,Northeast,True
bian zhai feng huo,边寨烽火,Changchun Film Studio,Northeast,True
mu nv jiao shi,母女教师,Changchun Film Studio,Northeast,True
mu ren zhi zi,牧人之子,Changchun Film Studio,Northeast,True
li er sao gai jia,李二嫂改嫁,Changchun Film Studio,Northeast,
hu die bei,蝴蝶杯,Changchun Film Studio,Northeast,True
jie nian,借年,Changchun Film Studio,Northeast,
qun ying hui,群英会,Beijing Film Studio,Beijing,True
jie dong feng,借东风,Beijing Film Studio,Beijing,True
du shi niang,杜十娘,Beijing Film Studio,Beijing,True
yan dang shan,雁荡山,Beijing Film Studio,Beijing,
yang cheng an shao,羊城暗哨,Haiyan Film Studio,Shanghai (state),True
dong xiao heng chui,洞箫横吹,Haiyan Film Studio,Shanghai (state),True
qiu chang feng bo,球场风波,Haiyan Film Studio,Shanghai (state),True
hai hun,海魂,Haiyan Film Studio,Shanghai (state),True
mu tong tou jun,牧童投军,Haiyan Film Studio,Shanghai (state),True
ye lin qu,椰林曲,Tianma Film Studio,Shanghai (state),True
qing chang yi shen,情长谊深,Tianma Film Studio,Shanghai (state),True
nv lan 5 hao,女篮5号,Tianma Film Studio,Shanghai (state),True
wu hai ye hang,雾海夜航,Tianma Film Studio,Shanghai (state),True
xing fu,幸福,Tianma Film Studio,Shanghai (state),
bai yue ji,拜月记,Tianma Film Studio,Shanghai (state),
chen san wu niang,陈三五娘,Tianma Film Studio,Shanghai (state),True
luo han qian,罗汉钱,Jiangnan Film Studio,Shanghai (state),True
a fu xun bao ji,阿福寻宝记,Jiangnan Film Studio,Shanghai (state),True
feng huang zhi ge,凤凰之歌,Jiangnan Film Studio,Shanghai (state),True
hu shi ri ji,护士日记,Jiangnan Film Studio,Shanghai (state),True
cheng feng po lang,乘风破浪,Jiangnan Film Studio,Shanghai (state),True
bu ye cheng,不夜城,Jiangnan Film Studio,Shanghai (state),False
zhan dou li cheng zhang,战斗里成长,August First Film Studio,Beijing,True
shui,水,August First Film Studio,Beijing,True
liu bao de gu shi,柳堡的故事,August First Film Studio,Beijing,True
wu geng han,五更寒,August First Film Studio,Beijing,True
ji zhan qian ye,激战前夜,August First Film Studio,Beijing,True
chuan shan ju long,穿山巨龙,Studio of Beijing Film Academy,Beijing,
da mu jiang,大木匠,Studio of Beijing Film Academy,Beijing,
hua hao yue yuan,花好月圆,Changchun Film Studio,Northeast,True
min bing de er zi,民兵的儿子,Changchun Film Studio,Northeast,
hong hai zi,红孩子,Changchun Film Studio,Northeast,True
shui ku shang de ge sheng,水库上的歌声,Changchun Film Studio,Northeast,
dang de nv er,党的女儿,Changchun Film Studio,Northeast,True
xu qiu ying an jian,徐秋影案件,Changchun Film Studio,Northeast,True
xuan ya,悬崖,Changchun Film Studio,Northeast,True
gu cha zhong sheng,古刹钟声,Changchun Film Studio,Northeast,True
ta ai shang le gu xiang,她爱上了故乡,Changchun Film Studio,Northeast,
gong di qing nian,工地青年,Changchun Film Studio,Northeast,True
nv she zhang,女社长,Changchun Film Studio,Northeast,True
li ming de he bian,黎明的河边,Changchun Film Studio,Northeast,True
dong feng,东风,Changchun Film Studio,Northeast,
xin lian xin,心连心,Changchun Film Studio,Northeast,True
huan nan zhi jiao,患难之交,Changchun Film Studio,Northeast,True
san nian zao zhi dao,三年早知道,Changchun Film Studio,Northeast,True
bing jian qian jin,并肩前进,Changchun Film Studio,Northeast,True
bai shou qi jia,白手起家,Changchun Film Studio,Northeast,True
hua zhong ren,画中人,Changchun Film Studio,Northeast,False
lie bing deng zhi gao,列兵邓志高,Changchun Film Studio,Northeast,
